"ensembl_peptide_id_version"	"external_gene_name"
"4979"	"ENSXETP00000031912.3"	"CCDC170"
"4980"	"ENSXETP00000061170.1"	"CCDC170"
"4981"	"ENSXETP00000058741.1"	"CCDC170"
"4982"	"ENSXETP00000020955.3"	"znf362"
"4983"	"ENSXETP00000010442.3"	"nr2c2"
"4984"	"ENSXETP00000046466.2"	"lrig3"
"4985"	"ENSXETP00000003646.3"	"tuba8"
"4986"	"ENSXETP00000011589.3"	""
"4987"	"ENSXETP00000002564.3"	"mfsd2a"
"4988"	"ENSXETP00000061534.1"	"HIRIP3"
"4989"	"ENSXETP00000060956.1"	"HIRIP3"
"4990"	"ENSXETP00000060658.1"	"HIRIP3"
"4991"	"ENSXETP00000018232.2"	""
"4992"	"ENSXETP00000062094.1"	"ACOD1"
"4993"	"ENSXETP00000023713.1"	""
"4994"	"ENSXETP00000020963.3"	"trim62"
"4995"	"ENSXETP00000020958.5"	"trim62"
"4996"	"ENSXETP00000010221.3"	"lmo7"
"4997"	"ENSXETP00000041498.3"	"lmo7"
"4998"	"ENSXETP00000063031.1"	""
"4999"	"ENSXETP00000027035.3"	"esr1"
"5000"	""	"dusp14"
"5001"	"ENSXETP00000032448.3"	"kiaa0319"
"5002"	"ENSXETP00000062146.1"	"dppa2/4"
"5003"	"ENSXETP00000012861.3"	""
"5004"	"ENSXETP00000028414.3"	"sema4b"
"5005"	"ENSXETP00000035280.2"	"otol1"
"5006"	"ENSXETP00000054453.1"	"XB-GENE-5799682"
"5007"	"ENSXETP00000020964.3"	"capns1"
"5008"	"ENSXETP00000061490.1"	""
"5009"	"ENSXETP00000063079.1"	""
"5010"	"ENSXETP00000020968.3"	""
"5011"	"ENSXETP00000061877.1"	""
"5012"	"ENSXETP00000004311.3"	"rps21"
"5013"	"ENSXETP00000063006.1"	"iars"
"5014"	"ENSXETP00000045168.2"	"iars"
"5015"	"ENSXETP00000024763.3"	"sez6l2"
"5016"	"ENSXETP00000061581.1"	"sez6l2"
"5017"	"ENSXETP00000012868.3"	"rbm11"
"5018"	"ENSXETP00000039076.2"	"pxdc1"
"5019"	"ENSXETP00000026384.1"	"XB-GENE-5860197"
"5020"	"ENSXETP00000062138.1"	""
"5021"	"ENSXETP00000060225.1"	""
"5022"	"ENSXETP00000052176.3"	""
"5023"	"ENSXETP00000021989.2"	"sla2"
"5024"	"ENSXETP00000042379.3"	"psmd5"
"5025"	"ENSXETP00000010450.3"	"fgd5"
"5026"	"ENSXETP00000057179.2"	"aifm3"
"5027"	"ENSXETP00000004313.3"	"cables2"
"5028"	"ENSXETP00000003650.3"	"mical3"
"5029"	"ENSXETP00000042606.3"	""
"5030"	"ENSXETP00000047675.3"	"apex2"
"5031"	"ENSXETP00000039091.3"	"XB-GENE-5835884"
"5032"	"ENSXETP00000062649.1"	"NOL9"
"5033"	"ENSXETP00000059180.1"	""
"5034"	"ENSXETP00000035932.3"	""
"5035"	"ENSXETP00000058806.1"	"nrcam"
"5036"	"ENSXETP00000034441.3"	"nrcam"
"5037"	"ENSXETP00000030134.3"	"kifc3"
"5038"	"ENSXETP00000028401.3"	"cib1"
"5039"	"ENSXETP00000021985.3"	"mospd2"
"5040"	"ENSXETP00000061183.1"	""
"5041"	"ENSXETP00000038345.3"	"ufc1"
"5042"	"ENSXETP00000025619.3"	""
"5043"	"ENSXETP00000024266.2"	"hes3.3"
"5044"	"ENSXETP00000027049.2"	"syne1"
"5045"	"ENSXETP00000061549.1"	""
"5046"	"ENSXETP00000063182.1"	""
"5047"	"ENSXETP00000035328.3"	"xiap"
"5048"	"ENSXETP00000035327.3"	"xiap"
"5049"	"ENSXETP00000058770.1"	"G6PC3"
"5050"	"ENSXETP00000062848.1"	""
"5051"	"ENSXETP00000017971.3"	"antxrl"
"5052"	"ENSXETP00000013125.3"	""
"5053"	"ENSXETP00000026391.3"	"plch2"
"5054"	"ENSXETP00000026394.3"	"plch2"
"5055"	"ENSXETP00000026396.3"	"plch2"
"5056"	"ENSXETP00000004317.3"	"rbbp8nl"
"5057"	"ENSXETP00000058977.1"	"lyrm7"
"5058"	"ENSXETP00000007433.3"	"pgam1"
"5059"	"ENSXETP00000007315.3"	"lsm12"
"5060"	"ENSXETP00000062083.1"	""
"5061"	"ENSXETP00000042377.2"	""
"5062"	"ENSXETP00000010452.3"	"ccdc174"
"5063"	"ENSXETP00000059286.1"	""
"5064"	"ENSXETP00000054354.2"	""
"5065"	"ENSXETP00000024268.2"	""
"5066"	"ENSXETP00000039092.3"	"tubb2b"
"5067"	"ENSXETP00000042340.2"	"vav2"
"5068"	"ENSXETP00000060789.1"	"vav2"
"5069"	"ENSXETP00000038347.3"	"usp21"
"5070"	"ENSXETP00000035683.3"	""
"5071"	"ENSXETP00000035684.3"	""
"5072"	"ENSXETP00000035281.3"	""
"5073"	"ENSXETP00000018156.2"	"hint1"
"5074"	"ENSXETP00000063494.1"	""
"5075"	"ENSXETP00000058018.1"	"dera"
"5076"	"ENSXETP00000028398.3"	"gdpgp1"
"5077"	"ENSXETP00000017395.2"	""
"5078"	"ENSXETP00000035334.3"	"thoc2"
"5079"	"ENSXETP00000035333.2"	"thoc2"
"5080"	"ENSXETP00000033704.3"	"vps33b"
"5081"	"ENSXETP00000007316.3"	"ppp1r9b"
"5082"	"ENSXETP00000007435.3"	"exosc1"
"5083"	"ENSXETP00000019116.3"	""
"5084"	"ENSXETP00000024764.3"	"nme2"
"5085"	"ENSXETP00000038355.3"	"ppox"
"5086"	"ENSXETP00000019129.2"	""
"5087"	"ENSXETP00000039095.2"	"bphl"
"5088"	"ENSXETP00000010224.3"	"uchl3"
"5089"	"ENSXETP00000026405.2"	"pex10"
"5090"	"ENSXETP00000053637.1"	""
"5091"	"ENSXETP00000045076.3"	"sdad1"
"5092"	"ENSXETP00000000106.3"	""
"5093"	"ENSXETP00000058559.1"	"CHSY3"
"5094"	"ENSXETP00000048128.2"	"esr10"
"5095"	"ENSXETP00000000115.3"	"ripk4"
"5096"	"ENSXETP00000007439.3"	"zdhhc16"
"5097"	"ENSXETP00000025180.3"	"grip2"
"5098"	"ENSXETP00000025202.2"	""
"5099"	"ENSXETP00000063876.1"	"KIAA1024L"
"5100"	"ENSXETP00000011882.2"	"rer1"
"5101"	"ENSXETP00000039117.3"	"serpinb4"
"5102"	"ENSXETP00000040683.3"	"ADAMTS19"
"5103"	"ENSXETP00000060156.1"	""
"5104"	"ENSXETP00000030125.3"	"cngb1"
"5105"	"ENSXETP00000056223.2"	"XB-GENE-5854345"
"5106"	"ENSXETP00000063516.1"	"XB-GENE-5854345"
"5107"	"ENSXETP00000059404.1"	"FANCB"
"5108"	"ENSXETP00000024269.3"	"hes3.1"
"5109"	"ENSXETP00000014225.3"	""
"5110"	"ENSXETP00000010225.3"	"commd6"
"5111"	"ENSXETP00000027578.3"	""
"5112"	"ENSXETP00000045363.3"	""
"5113"	"ENSXETP00000026406.3"	"morn1"
"5114"	"ENSXETP00000045356.2"	"ROBO2"
"5115"	"ENSXETP00000007318.3"	"sgca"
"5116"	"ENSXETP00000026146.2"	"rbp3"
"5117"	"ENSXETP00000043199.3"	"XB-GENE-5844396"
"5118"	"ENSXETP00000019173.3"	"XB-GENE-5844396"
"5119"	"ENSXETP00000034880.3"	"ski"
"5120"	"ENSXETP00000042301.3"	"dnz1"
"5121"	"ENSXETP00000038357.2"	"dnz1"
"5122"	"ENSXETP00000024775.2"	"taok2"
"5123"	"ENSXETP00000062292.1"	"taok2"
"5124"	"ENSXETP00000024275.3"	"zbtb48"
"5125"	"ENSXETP00000007443.3"	"mms19"
"5126"	"ENSXETP00000000120.2"	"prdm15"
"5127"	"ENSXETP00000026149.1"	"gdf2"
"5128"	"ENSXETP00000026153.3"	"gdf10"
"5129"	"ENSXETP00000039173.3"	"serpinb11"
"5130"	"ENSXETP00000035277.3"	"copg1"
"5131"	"ENSXETP00000007811.3"	"atp2b4"
"5132"	"ENSXETP00000010226.3"	"tbc1d4"
"5133"	"ENSXETP00000000759.3"	"tepp"
"5134"	"ENSXETP00000010184.3"	""
"5135"	"ENSXETP00000038375.3"	"adamts4"
"5136"	"ENSXETP00000030072.2"	"ndrg3"
"5137"	"ENSXETP00000058547.1"	"prkcz"
"5138"	"ENSXETP00000034926.3"	"prkcz"
"5139"	"ENSXETP00000062326.1"	""
"5140"	"ENSXETP00000018162.3"	"isoc1"
"5141"	"ENSXETP00000019174.3"	"slamf8"
"5142"	"ENSXETP00000039194.3"	"eci2"
"5143"	"ENSXETP00000063144.1"	"eci2"
"5144"	"ENSXETP00000025223.3"	"slc6a6"
"5145"	"ENSXETP00000035342.3"	"gria3"
"5146"	"ENSXETP00000024281.2"	"klhl21"
"5147"	"ENSXETP00000019200.3"	""
"5148"	"ENSXETP00000007330.2"	"col1a1"
"5149"	"ENSXETP00000045330.3"	"robo1"
"5150"	"ENSXETP00000062945.1"	"robo1"
"5151"	"ENSXETP00000046343.3"	"nlgn4x"
"5152"	"ENSXETP00000024365.3"	"phf13"
"5153"	"ENSXETP00000059579.1"	"slc27a6"
"5154"	"ENSXETP00000018163.2"	"slc27a6"
"5155"	"ENSXETP00000045109.3"	"slc4a4"
"5156"	"ENSXETP00000060906.1"	"C2CD2"
"5157"	"ENSXETP00000045556.3"	""
"5158"	"ENSXETP00000027264.3"	"frg1"
"5159"	"ENSXETP00000014538.2"	"ctdnep1"
"5160"	"ENSXETP00000027957.3"	""
"5161"	"ENSXETP00000033620.4"	"helz"
"5162"	"ENSXETP00000055009.2"	""
"5163"	"ENSXETP00000024377.3"	"dnajc11"
"5164"	"ENSXETP00000010229.3"	"klf12"
"5165"	"ENSXETP00000056975.1"	"pkia"
"5166"	"ENSXETP00000033857.3"	""
"5167"	"ENSXETP00000019860.3"	""
"5168"	"ENSXETP00000017190.3"	"zc2hc1a"
"5169"	"ENSXETP00000054949.2"	"ndufs2"
"5170"	"ENSXETP00000061615.1"	""
"5171"	"ENSXETP00000024438.3"	"cth"
"5172"	"ENSXETP00000033710.3"	"prc1"
"5173"	"ENSXETP00000005185.3"	""
"5174"	"ENSXETP00000010233.3"	"klf5"
"5175"	""	"zbtb21"
"5176"	"ENSXETP00000007320.3"	"plxna3"
"5177"	"ENSXETP00000030222.3"	"umodl1"
"5178"	"ENSXETP00000061665.1"	"umodl1"
"5179"	"ENSXETP00000061460.1"	"umodl1"
"5180"	"ENSXETP00000058332.1"	""
"5181"	"ENSXETP00000011839.3"	""
"5182"	"ENSXETP00000061752.1"	""
"5183"	"ENSXETP00000010234.3"	"pibf1"
"5184"	"ENSXETP00000062036.1"	"hes1"
"5185"	"ENSXETP00000036731.3"	"hes1"
"5186"	"ENSXETP00000059281.1"	""
"5187"	"ENSXETP00000063571.1"	"brd3"
"5188"	"ENSXETP00000063810.1"	"brd3"
"5189"	"ENSXETP00000042370.3"	"brd3"
"5190"	"ENSXETP00000027257.3"	"asah1"
"5191"	"ENSXETP00000017191.3"	"stmn2"
"5192"	"ENSXETP00000060268.1"	"stmn2"
"5193"	"ENSXETP00000034930.3"	"gabrd"
"5194"	"ENSXETP00000017194.3"	"hey1"
"5195"	"ENSXETP00000047828.3"	""
"5196"	"ENSXETP00000047820.3"	""
"5197"	"ENSXETP00000063248.1"	"rpp40"
"5198"	"ENSXETP00000038248.3"	"rpp40"
"5199"	"ENSXETP00000059260.1"	"traf3ip2"
"5200"	"ENSXETP00000028168.2"	"traf3ip2"
"5201"	"ENSXETP00000036723.3"	"opa1"
"5202"	"ENSXETP00000060826.1"	"opa1"
"5203"	"ENSXETP00000061671.1"	"gopc"
"5204"	"ENSXETP00000028166.3"	"gopc"
"5205"	"ENSXETP00000061386.1"	"ubtd1"
"5206"	"ENSXETP00000031565.3"	"ubtd1"
"5207"	"ENSXETP00000056219.2"	"cdipt"
"5208"	"ENSXETP00000045132.3"	"gc"
"5209"	"ENSXETP00000045129.3"	"gc"
"5210"	"ENSXETP00000062871.1"	"RCCD1"
"5211"	"ENSXETP00000003713.2"	"FBN2"
"5212"	"ENSXETP00000011010.2"	"camta1"
"5213"	"ENSXETP00000023216.3"	"crip3"
"5214"	"ENSXETP00000007445.3"	"ankrd2"
"5215"	"ENSXETP00000063068.1"	"tpd52"
"5216"	"ENSXETP00000061628.1"	"tpd52"
"5217"	"ENSXETP00000022867.3"	"tpd52"
"5218"	"ENSXETP00000061679.1"	""
"5219"	"ENSXETP00000030062.3"	"gins3"
"5220"	"ENSXETP00000033623.2"	"cacng1"
"5221"	"ENSXETP00000033851.3"	"pnpla8"
"5222"	"ENSXETP00000034345.3"	"pnpla8"
"5223"	"ENSXETP00000063230.1"	""
"5224"	"ENSXETP00000063962.1"	""
"5225"	"ENSXETP00000059819.1"	""
"5226"	"ENSXETP00000055785.1"	"cacng4"
"5227"	"ENSXETP00000025236.3"	"lsm3"
"5228"	"ENSXETP00000053778.2"	"nus1"
"5229"	"ENSXETP00000060290.1"	"nus1"
"5230"	"ENSXETP00000060340.1"	""
"5231"	"ENSXETP00000030061.3"	"ccdc113"
"5232"	"ENSXETP00000033018.3"	""
"5233"	"ENSXETP00000033721.2"	"unc45a"
"5234"	"ENSXETP00000061625.1"	"unc45a"
"5235"	"ENSXETP00000064016.1"	""
"5236"	"ENSXETP00000058415.1"	"FARS2"
"5237"	"ENSXETP00000001440.3"	""
"5238"	"ENSXETP00000060485.1"	""
"5239"	"ENSXETP00000061691.1"	"F13A1"
"5240"	"ENSXETP00000058754.1"	"XPC"
"5241"	"ENSXETP00000012947.2"	"tlr3"
"5242"	"ENSXETP00000011008.3"	"vamp3"
"5243"	"ENSXETP00000018103.3"	"vamp3"
"5244"	"ENSXETP00000033001.2"	"kiaa2022"
"5245"	"ENSXETP00000062291.1"	""
"5246"	"ENSXETP00000042368.3"	"wdr5"
"5247"	"ENSXETP00000028146.3"	"slc35f1"
"5248"	"ENSXETP00000060814.1"	"slc35f1"
"5249"	"ENSXETP00000058436.1"	"c14orf79"
"5250"	"ENSXETP00000043880.3"	"lrrc49"
"5251"	"ENSXETP00000043881.2"	"lrrc49"
"5252"	"ENSXETP00000009927.2"	"abcb7"
"5253"	"ENSXETP00000056972.2"	"zbtb10"
"5254"	"ENSXETP00000034321.3"	"avpr2.2"
"5255"	"ENSXETP00000023214.3"	"rnf8"
"5256"	"ENSXETP00000059164.1"	"rnf8"
"5257"	"ENSXETP00000012928.2"	"fam149a"
"5258"	"ENSXETP00000034330.3"	"thap5"
"5259"	"ENSXETP00000061683.1"	"thap5"
"5260"	"ENSXETP00000027001.3"	"dis3"
"5261"	"ENSXETP00000059876.1"	"dis3"
"5262"	"ENSXETP00000010997.2"	"per3"
"5263"	"ENSXETP00000063805.1"	""
"5264"	"ENSXETP00000024801.3"	"nlk.2"
"5265"	"ENSXETP00000024802.2"	"nlk.2"
"5266"	"ENSXETP00000025244.2"	"tmem43"
"5267"	"ENSXETP00000014863.3"	"cdca4"
"5268"	"ENSXETP00000055386.2"	"bix1.1"
"5269"	"ENSXETP00000034329.2"	"dnajb9"
"5270"	"ENSXETP00000038193.2"	""
"5271"	"ENSXETP00000030058.3"	"csnk2a2"
"5272"	"ENSXETP00000030055.3"	"csnk2a2"
"5273"	"ENSXETP00000012241.3"	"gpr132"
"5274"	"ENSXETP00000059883.1"	""
"5275"	"ENSXETP00000007453.3"	"hoga1"
"5276"	"ENSXETP00000022872.3"	"znf704"
"5277"	"ENSXETP00000062855.1"	"JAG2"
"5278"	"ENSXETP00000027252.1"	"gtf2e1.2"
"5279"	"ENSXETP00000028140.3"	"cep85l"
"5280"	"ENSXETP00000053675.2"	"lrrn3"
"5281"	"ENSXETP00000035272.3"	"hmces"
"5282"	"ENSXETP00000022874.3"	"pag1"
"5283"	"ENSXETP00000028547.3"	"dock4"
"5284"	"ENSXETP00000014208.3"	""
"5285"	"ENSXETP00000058856.1"	""
"5286"	"ENSXETP00000009942.2"	"endog"
"5287"	"ENSXETP00000022876.2"	""
"5288"	"ENSXETP00000009952.2"	"uprt"
"5289"	"ENSXETP00000028127.3"	"mcm9"
"5290"	"ENSXETP00000058414.1"	""
"5291"	"ENSXETP00000027245.5"	"pcm1"
"5292"	"ENSXETP00000061229.1"	"pcm1"
"5293"	"ENSXETP00000054673.2"	""
"5294"	"ENSXETP00000054090.2"	"chchd4"
"5295"	"ENSXETP00000024818.3"	""
"5296"	"ENSXETP00000056959.1"	"mrpl53"
"5297"	"ENSXETP00000060023.1"	"mrpl53"
"5298"	"ENSXETP00000028123.2"	"asf1a"
"5299"	"ENSXETP00000009945.2"	"zdhhc15"
"5300"	"ENSXETP00000012922.3"	"cyp4v2"
"5301"	"ENSXETP00000010981.1"	"tp73"
"5302"	"ENSXETP00000035541.1"	"hmbs"
"5303"	"ENSXETP00000053269.1"	"zdhhc12"
"5304"	"ENSXETP00000025249.3"	""
"5305"	"ENSXETP00000035275.1"	"XB-GENE-982799"
"5306"	"ENSXETP00000058316.1"	"XB-GENE-982799"
"5307"	"ENSXETP00000048939.3"	"fam184a"
"5308"	"ENSXETP00000022878.3"	"fabp4"
"5309"	"ENSXETP00000034768.3"	"mmp15"
"5310"	"ENSXETP00000047457.2"	"rprd1b"
"5311"	"ENSXETP00000035269.3"	"rab7a"
"5312"	"ENSXETP00000036702.3"	"atp13a4"
"5313"	"ENSXETP00000008729.3"	"gbe1"
"5314"	"ENSXETP00000031562.3"	"ubtd2"
"5315"	"ENSXETP00000043877.3"	"larp6"
"5316"	"ENSXETP00000024872.3"	"rad51ap1"
"5317"	"ENSXETP00000027755.3"	""
"5318"	"ENSXETP00000042363.3"	"rxra"
"5319"	"ENSXETP00000056209.2"	"trim72"
"5320"	"ENSXETP00000058705.1"	"stk10"
"5321"	"ENSXETP00000031556.3"	"stk10"
"5322"	"ENSXETP00000043874.3"	"adal"
"5323"	"ENSXETP00000018635.2"	"foxp1"
"5324"	"ENSXETP00000018634.3"	"foxp1"
"5325"	"ENSXETP00000055672.2"	"dsn1"
"5326"	"ENSXETP00000055673.2"	"dsn1"
"5327"	"ENSXETP00000062019.1"	"uroc1"
"5328"	"ENSXETP00000025262.3"	"uroc1"
"5329"	"ENSXETP00000063823.1"	"uroc1"
"5330"	"ENSXETP00000012915.3"	"cyp4v2"
"5331"	"ENSXETP00000061433.1"	"wrap73"
"5332"	"ENSXETP00000010969.3"	"wrap73"
"5333"	"ENSXETP00000054332.2"	"wrap73"
"5334"	"ENSXETP00000020316.2"	"znf277"
"5335"	"ENSXETP00000063720.1"	"c12orf4"
"5336"	"ENSXETP00000013117.3"	"c12orf4"
"5337"	"ENSXETP00000043184.3"	"ighmbp2"
"5338"	"ENSXETP00000047461.3"	"c18orf21"
"5339"	"ENSXETP00000062272.1"	"c18orf21"
"5340"	"ENSXETP00000035266.2"	"rpn1"
"5341"	"ENSXETP00000048930.3"	"man1a1"
"5342"	"ENSXETP00000027581.3"	""
"5343"	"ENSXETP00000060042.1"	"myct1"
"5344"	"ENSXETP00000012877.2"	"olfm2"
"5345"	"ENSXETP00000056140.2"	"man2a2"
"5346"	"ENSXETP00000033737.2"	"man2a2"
"5347"	"ENSXETP00000057987.2"	"vip"
"5348"	"ENSXETP00000063855.1"	""
"5349"	"ENSXETP00000053766.2"	""
"5350"	"ENSXETP00000019133.2"	""
"5351"	"ENSXETP00000052316.3"	""
"5352"	"ENSXETP00000015102.4"	"cttnbp2nl"
"5353"	"ENSXETP00000056948.2"	"fancd2"
"5354"	"ENSXETP00000022879.2"	"pmp2"
"5355"	"ENSXETP00000001480.2"	"fgl1"
"5356"	"ENSXETP00000027003.3"	"bora"
"5357"	"ENSXETP00000043244.3"	"fcrl2"
"5358"	"ENSXETP00000012912.3"	"klkb1"
"5359"	"ENSXETP00000012881.3"	"pin1"
"5360"	"ENSXETP00000040136.2"	"fbxo5"
"5361"	"ENSXETP00000063427.1"	"atp13a5"
"5362"	"ENSXETP00000036703.3"	"atp13a5"
"5363"	"ENSXETP00000036693.3"	"atp13a5"
"5364"	"ENSXETP00000007322.2"	"fam50a"
"5365"	"ENSXETP00000012271.3"	"fam50a"
"5366"	"ENSXETP00000020366.3"	"fam50a"
"5367"	"ENSXETP00000015100.3"	"wnt2b"
"5368"	"ENSXETP00000009953.3"	"rlim"
"5369"	"ENSXETP00000009955.4"	"rlim"
"5370"	"ENSXETP00000059945.1"	""
"5371"	"ENSXETP00000042443.2"	"plod3"
"5372"	"ENSXETP00000027608.2"	""
"5373"	"ENSXETP00000012906.3"	"c5orf22"
"5374"	"ENSXETP00000012686.2"	"lmf1"
"5375"	"ENSXETP00000027600.3"	""
"5376"	"ENSXETP00000060907.1"	""
"5377"	"ENSXETP00000058817.1"	""
"5378"	"ENSXETP00000001489.1"	"mtus1"
"5379"	"ENSXETP00000001490.2"	"mtus1"
"5380"	"ENSXETP00000053946.2"	""
"5381"	"ENSXETP00000015099.3"	"st7l"
"5382"	"ENSXETP00000031165.4"	"vwc2l"
"5383"	"ENSXETP00000062249.1"	"pycard"
"5384"	"ENSXETP00000024833.3"	"pycard"
"5385"	"ENSXETP00000058187.2"	""
"5386"	"ENSXETP00000027585.3"	""
"5387"	"ENSXETP00000027591.3"	""
"5388"	"ENSXETP00000012681.2"	"sox8"
"5389"	"ENSXETP00000040131.2"	"mtrf1l"
"5390"	"ENSXETP00000043847.3"	"tarsl2"
"5391"	"ENSXETP00000060314.1"	"cadm2"
"5392"	"ENSXETP00000041944.2"	"cadm2"
"5393"	"ENSXETP00000031175.2"	"bard1"
"5394"	"ENSXETP00000048340.2"	"col5a1"
"5395"	"ENSXETP00000054433.2"	"tmem82"
"5396"	"ENSXETP00000009960.2"	"slc16a2"
"5397"	"ENSXETP00000052973.2"	"mzt1"
"5398"	"ENSXETP00000040135.3"	"gpatch11"
"5399"	"ENSXETP00000056284.1"	"ifrd1"
"5400"	"ENSXETP00000019108.3"	""
"5401"	"ENSXETP00000027006.3"	"dach1"
"5402"	"ENSXETP00000059762.1"	"dach1"
"5403"	"ENSXETP00000013118.2"	""
"5404"	"ENSXETP00000006483.3"	"pigk"
"5405"	"ENSXETP00000012635.3"	"sstr5"
"5406"	"ENSXETP00000025273.3"	"zxdc"
"5407"	"ENSXETP00000012614.3"	"c1qtnf1"
"5408"	"ENSXETP00000012900.2"	"gad1.2"
"5409"	"ENSXETP00000041483.3"	""
"5410"	"ENSXETP00000002132.2"	"capza1"
"5411"	"ENSXETP00000010962.2"	"tprg1l"
"5412"	"ENSXETP00000007333.3"	""
"5413"	"ENSXETP00000063880.1"	"HRASLS"
"5414"	"ENSXETP00000007323.2"	"gdi1"
"5415"	"ENSXETP00000035208.3"	"mrps23"
"5416"	"ENSXETP00000014929.3"	""
"5417"	"ENSXETP00000009965.2"	""
"5418"	"ENSXETP00000040694.3"	"cfap70"
"5419"	"ENSXETP00000059232.1"	"cfap70"
"5420"	"ENSXETP00000013126.3"	"fgf6"
"5421"	"ENSXETP00000057738.2"	""
"5422"	"ENSXETP00000051159.2"	""
"5423"	"ENSXETP00000026881.2"	"celf3"
"5424"	"ENSXETP00000027973.3"	"mettl18"
"5425"	"ENSXETP00000036690.3"	"atp13a-like"
"5426"	"ENSXETP00000025275.2"	"cfap100"
"5427"	"ENSXETP00000034721.3"	"cnot1"
"5428"	"ENSXETP00000034707.2"	"cnot1"
"5429"	"ENSXETP00000031196.3"	"ABCA12"
"5430"	"ENSXETP00000027984.3"	"pcdh20"
"5431"	"ENSXETP00000062314.1"	"TRAT1"
"5432"	"ENSXETP00000063638.1"	"tdrd3"
"5433"	"ENSXETP00000028000.3"	"tdrd3"
"5434"	"ENSXETP00000016617.3"	"chmp2b"
"5435"	"ENSXETP00000058536.1"	"chmp2b"
"5436"	"ENSXETP00000008463.2"	"crtam"
"5437"	"ENSXETP00000061700.1"	"crtam"
"5438"	"ENSXETP00000013884.3"	"thbs3"
"5439"	"ENSXETP00000062959.1"	"kiaa1524"
"5440"	"ENSXETP00000035206.3"	"kiaa1524"
"5441"	"ENSXETP00000062647.1"	""
"5442"	"ENSXETP00000062156.1"	""
"5443"	"ENSXETP00000060951.1"	""
"5444"	"ENSXETP00000035265.3"	""
"5445"	"ENSXETP00000061202.1"	""
"5446"	"ENSXETP00000060822.1"	""
"5447"	"ENSXETP00000022789.3"	"crim1"
"5448"	"ENSXETP00000001516.3"	"pdgfrl"
"5449"	"ENSXETP00000060717.1"	""
"5450"	"ENSXETP00000059965.1"	""
"5451"	"ENSXETP00000058703.1"	""
"5452"	"ENSXETP00000061909.1"	""
"5453"	"ENSXETP00000063589.1"	""
"5454"	"ENSXETP00000062895.1"	""
"5455"	"ENSXETP00000055598.2"	"fgf23.2"
"5456"	"ENSXETP00000059672.1"	"fgf23.2"
"5457"	"ENSXETP00000031543.3"	"pole4"
"5458"	"ENSXETP00000022880.2"	"impa1"
"5459"	"ENSXETP00000063685.1"	"impa1"
"5460"	"ENSXETP00000035260.2"	"gata2"
"5461"	"ENSXETP00000061791.1"	""
"5462"	"ENSXETP00000010953.3"	"MEGF6"
"5463"	"ENSXETP00000025784.3"	"sh3pxd2b"
"5464"	"ENSXETP00000025282.1"	"klf15"
"5465"	"ENSXETP00000013129.2"	"tigar"
"5466"	"ENSXETP00000006489.3"	"st6galnac5"
"5467"	"ENSXETP00000007324.2"	"atp6ap1.2"
"5468"	"ENSXETP00000062653.1"	"aldh1l1"
"5469"	"ENSXETP00000025284.2"	"aldh1l1"
"5470"	"ENSXETP00000033746.1"	"fes"
"5471"	"ENSXETP00000012647.3"	"mpp2"
"5472"	"ENSXETP00000007334.3"	"mpp2"
"5473"	"ENSXETP00000004439.3"	"eefsec"
"5474"	"ENSXETP00000009970.3"	"usp46"
"5475"	"ENSXETP00000006496.3"	"st6galnac3"
"5476"	"ENSXETP00000005437.3"	"irf10"
"5477"	"ENSXETP00000006500.2"	"msh4"
"5478"	"ENSXETP00000053764.2"	"mov10"
"5479"	"ENSXETP00000008465.3"	"ubash3b"
"5480"	"ENSXETP00000016614.3"	"pou1f1"
"5481"	"ENSXETP00000061112.1"	"arhgef16"
"5482"	"ENSXETP00000010941.2"	"arhgef16"
"5483"	"ENSXETP00000020320.1"	"tmem168"
"5484"	"ENSXETP00000001508.3"	"slc7a2.1"
"5485"	"ENSXETP00000056027.2"	""
"5486"	"ENSXETP00000056031.1"	"XB-GENE-981482"
"5487"	"ENSXETP00000048818.3"	"brf1"
"5488"	"ENSXETP00000047537.3"	"brf1"
"5489"	"ENSXETP00000061881.1"	"ruvbl1"
"5490"	"ENSXETP00000004429.2"	"ruvbl1"
"5491"	"ENSXETP00000056029.2"	""
"5492"	"ENSXETP00000034697.2"	"eif4e3"
"5493"	"ENSXETP00000018307.3"	""
"5494"	"ENSXETP00000013131.3"	"ccnd2"
"5495"	"ENSXETP00000055278.2"	""
"5496"	"ENSXETP00000058945.1"	"bmt2"
"5497"	"ENSXETP00000020321.3"	"bmt2"
"5498"	"ENSXETP00000056003.2"	""
"5499"	"ENSXETP00000024836.3"	"XB-GENE-5809894"
"5500"	"ENSXETP00000007327.2"	"taz"
"5501"	"ENSXETP00000062390.1"	""
"5502"	"ENSXETP00000059350.1"	""
"5503"	"ENSXETP00000005440.2"	"xkr7"
"5504"	"ENSXETP00000059039.1"	""
"5505"	"ENSXETP00000016591.3"	"znf654"
"5506"	"ENSXETP00000022885.3"	"XB-GENE-5993458"
"5507"	"ENSXETP00000012885.3"	"cdh20"
"5508"	"ENSXETP00000043792.3"	"tjp1"
"5509"	"ENSXETP00000055994.2"	""
"5510"	"ENSXETP00000005442.2"	"ccm2l"
"5511"	"ENSXETP00000055929.2"	""
"5512"	"ENSXETP00000055502.2"	"rabggtb"
"5513"	"ENSXETP00000006506.2"	"rabggtb"
"5514"	"ENSXETP00000062042.1"	""
