"ensembl_peptide_id_version"	"external_gene_name"
"139"	"ENSXETP00000018985.3"	"atg5"
"140"	"ENSXETP00000062861.1"	"atg5"
"141"	"ENSXETP00000038487.3"	"asap1"
"142"	"ENSXETP00000063453.1"	"mgc108077"
"143"	"ENSXETP00000024984.3"	"mgc108077"
"144"	"ENSXETP00000063860.1"	"mgc108077"
"145"	"ENSXETP00000061803.1"	"mgc108077"
"146"	"ENSXETP00000044806.2"	"ubap2l"
"147"	"ENSXETP00000044495.2"	"dupd1"
"148"	"ENSXETP00000059521.1"	""
"149"	"ENSXETP00000062697.1"	""
"150"	"ENSXETP00000044837.3"	""
"151"	"ENSXETP00000033068.3"	"znf484"
"152"	"ENSXETP00000044497.3"	"DUSP13"
"153"	"ENSXETP00000031166.3"	"scn4a"
"154"	"ENSXETP00000062177.1"	""
"155"	"ENSXETP00000041746.2"	"aim1"
"156"	"ENSXETP00000064038.1"	""
"157"	"ENSXETP00000044827.3"	"tpsab1"
"158"	"ENSXETP00000003283.3"	""
"159"	"ENSXETP00000059614.1"	""
"160"	"ENSXETP00000044854.3"	""
"161"	"ENSXETP00000011445.3"	"ptp4a2"
"162"	"ENSXETP00000041752.3"	"rtn4ip1"
"163"	"ENSXETP00000060316.1"	""
"164"	"ENSXETP00000061315.1"	""
"165"	"ENSXETP00000059743.1"	""
"166"	"ENSXETP00000044858.3"	""
"167"	"ENSXETP00000012044.3"	"angptl5"
"168"	"ENSXETP00000060654.1"	"c9orf72"
"169"	"ENSXETP00000020664.3"	"c9orf72"
"170"	"ENSXETP00000030798.3"	"npnt"
"171"	"ENSXETP00000012047.3"	"trpc6"
"172"	"ENSXETP00000041743.3"	"qrsl1"
"173"	"ENSXETP00000011446.3"	"dcdc2b"
"174"	"ENSXETP00000041112.3"	"epha8"
"175"	"ENSXETP00000055697.2"	"epha8"
"176"	"ENSXETP00000038508.3"	"42Sp50"
"177"	"ENSXETP00000057571.2"	"ccdc28b"
"178"	"ENSXETP00000048663.3"	""
"179"	"ENSXETP00000060728.1"	""
"180"	"ENSXETP00000063811.1"	""
"181"	"ENSXETP00000045301.4"	"slc30a3"
"182"	"ENSXETP00000060527.1"	""
"183"	"ENSXETP00000011447.3"	"txlna"
"184"	"ENSXETP00000049507.3"	"pgq"
"185"	"ENSXETP00000059805.1"	""
"186"	"ENSXETP00000063301.1"	"xt6l"
"187"	"ENSXETP00000043128.3"	"c16orf91"
"188"	"ENSXETP00000058030.2"	"hist2h3d"
"189"	"ENSXETP00000030792.3"	"gstcd"
"190"	"ENSXETP00000049518.3"	""
"191"	"ENSXETP00000039188.2"	"adarb2"
"192"	"ENSXETP00000011376.3"	""
"193"	"ENSXETP00000045304.3"	"gtf3c2"
"194"	"ENSXETP00000001252.3"	""
"195"	"ENSXETP00000020351.3"	""
"196"	"ENSXETP00000060462.1"	""
"197"	"ENSXETP00000058563.1"	""
"198"	"ENSXETP00000046685.3"	"unkl"
"199"	"ENSXETP00000059709.1"	""
